latitude,longitude,confidence,lat_km,long_km,distance,power,count,country,coor
26.7164,98.5543,50,3069,10971,953.2093159427264,8.4,1,Myanmar,"(10971, 3069)"
26.7178,98.5642,63,3069,10972,953.1594829827797,10.6,1,Myanmar,"(10972, 3069)"
26.6275,101.5995,40,3058,11310,984.9680197854144,15.015000000000002,1,China,"(11310, 3058)"
16.9009,104.9106,78,1897,11679,695.7010852370435,11.880000000000004,1,Laos,"(11679, 1897)"
16.9026,104.9004,58,1897,11677,693.8040069068498,7.26,1,Laos,"(11677, 1897)"
10.5807,107.0459,28,1177,11916,1299.3109712459136,46.92999999999999,1,Vietnam,"(11916, 1177)"
26.5729,101.6702,59,3051,11318,980.6921025479912,14.448,1,China,"(11318, 3051)"
26.8476,101.6885,43,3085,11320,1013.7184027134952,14.448,1,China,"(11320, 3085)"
26.8637,100.2744,49,3087,11162,980.4840641234308,5.8080000000000025,1,China,"(11162, 3087)"
24.2297,100.9857,18,2764,11242,684.3522484802693,8.736,1,China,"(11242, 2764)"
20.3849,99.9726,72,2304,11129,216.95391215647618,13.944,1,Thailand,"(11129, 2304)"
19.9979,100.0106,70,2258,11133,181.3201588351389,15.287999999999998,1,Thailand,"(11133, 2258)"
18.9068,96.3228,60,2130,10723,296.2853354454115,4.9,1,Myanmar,"(10723, 2130)"
18.3737,98.5358,48,2068,10969,70.00714249274857,9.9,1,Thailand,"(10969, 2068)"
18.9054,96.3323,59,2130,10724,295.28630174798155,4.5,1,Myanmar,"(10724, 2130)"
16.5327,95.7343,58,1854,10657,447.4516733681974,5.8,1,Myanmar,"(10657, 1854)"
16.5829,94.7111,46,1860,10543,540.9482415166908,5.4,1,Myanmar,"(10543, 1860)"
16.5877,96.4041,64,1861,10732,384.5841910427416,5.8,1,Myanmar,"(10732, 1861)"
16.6049,95.685,62,1863,10652,446.32387343721604,6.4,1,Myanmar,"(10652, 1863)"
16.7645,95.9717,78,1881,10684,409.7816491742889,12.9,1,Myanmar,"(10684, 1881)"
16.8786,95.9483,76,1894,10681,404.9357973802761,13.7,1,Myanmar,"(10681, 1894)"
17.1127,100.2651,71,1921,11161,242.03305559365242,32.929,1,Thailand,"(11161, 1921)"
17.1114,100.2709,60,1921,11162,242.6211037811839,27.183000000000003,1,Thailand,"(11162, 1921)"
17.3645,100.1434,72,1951,11148,210.2308255228048,25.92,1,Thailand,"(11148, 1951)"
17.415,96.7804,76,1956,10774,293.1654822792069,9.240000000000002,1,Myanmar,"(10774, 1956)"
18.0766,95.7704,66,2033,10661,367.72272162595567,6.7,1,Myanmar,"(10661, 2033)"
18.4344,95.4064,65,2075,10621,400.20994490392167,4.3,1,Myanmar,"(10621, 2075)"
18.4913,95.5842,74,2082,10640,380.61266400370863,8.6,1,Myanmar,"(10640, 2082)"
16.4698,99.4283,69,1847,11068,274.4102767754881,24.12,1,Thailand,"(11068, 1847)"
15.5133,100.3741,73,1737,11174,410.396150079408,55.22400000000001,1,Thailand,"(11174, 1737)"
